Date,Open,High,Low,Close,Volume,Market
"Aug 23, 2017",0.24098699999999998,0.24098699999999998,0.21999200000000002,0.246827,1770400000,9240380000
"Aug 22, 2017",0.194971,0.194971,0.171483,0.23928600000000003,1450040000,7475950000
"Aug 21, 2017",0.15841,0.15841,0.154856,0.191918,447089000,6074040000
"Aug 20, 2017",0.154569,0.154569,0.15343199999999999,0.158735,68542800,5926770000
"Aug 19, 2017",0.159553,0.159553,0.152305,0.155057,87062100,6117890000
"Aug 18, 2017",0.157117,0.157117,0.154162,0.158883,146539000,6024470000
"Aug 17, 2017",0.16078699999999999,0.16078699999999999,0.155909,0.157498,56084300,6165190000
"Aug 16, 2017",0.16123800000000002,0.16123800000000002,0.153087,0.160431,107920000,6182490000
"Aug 15, 2017",0.16979,0.16979,0.158244,0.161221,100614000,6510400000
"Aug 14, 2017",0.168376,0.168376,0.16528900000000002,0.169991,84388300,6457680000
"Aug 13, 2017",0.173545,0.173545,0.162625,0.16809200000000002,110199000,6655930000
"Aug 12, 2017",0.179221,0.179221,0.173242,0.173853,65229300,6873590000
"Aug 11, 2017",0.180175,0.180175,0.177627,0.179307,54059700,6910180000
"Aug 10, 2017",0.183168,0.183168,0.180013,0.180399,48162800,7023380000
"Aug 09, 2017",0.192527,0.192527,0.18062899999999998,0.182947,97805400,7382220000
"Aug 08, 2017",0.179602,0.179602,0.17848699999999998,0.19258599999999998,180028000,6886620000
"Aug 07, 2017",0.17971600000000001,0.17971600000000001,0.17760499999999999,0.179021,58052100,6891020000
"Aug 06, 2017",0.185398,0.185398,0.180298,0.180444,74161600,7108860000
"Aug 05, 2017",0.17386500000000002,0.17386500000000002,0.173267,0.18473699999999998,114270000,6666640000
"Aug 04, 2017",0.174555,0.174555,0.172224,0.173743,45170000,6693120000
"Aug 03, 2017",0.173218,0.173218,0.17173,0.174612,31479000,6639970000
"Aug 02, 2017",0.177531,0.177531,0.171618,0.17311300000000002,53441400,6805300000
"Aug 01, 2017",0.168024,0.168024,0.166124,0.177053,119957000,6440860000
"Jul 31, 2017",0.16505,0.16505,0.162002,0.16738599999999998,57273800,6326860000
"Jul 30, 2017",0.169494,0.169494,0.16409400000000002,0.165082,40621700,6497250000
"Jul 29, 2017",0.165218,0.165218,0.155475,0.169871,80897000,6333340000
"Jul 28, 2017",0.173211,0.173211,0.162183,0.165937,74649800,6639700000
"Jul 27, 2017",0.17521,0.17521,0.17198,0.173457,34575100,6716190000
"Jul 26, 2017",0.177582,0.177582,0.16906,0.173822,76584600,6807110000
"Jul 25, 2017",0.19228,0.19228,0.169797,0.17810399999999998,166807000,7370540000
"Jul 24, 2017",0.19497899999999999,0.19497899999999999,0.189835,0.192002,56632800,7466020000
"Jul 23, 2017",0.19356800000000002,0.19356800000000002,0.188722,0.19505799999999998,195682000,7411980000
"Jul 22, 2017",0.182168,0.182168,0.181447,0.19332,83913800,6975460000
"Jul 21, 2017",0.18943,0.18943,0.181098,0.182608,104722000,7253530000
"Jul 20, 2017",0.170017,0.170017,0.167718,0.18829500000000002,183292000,6510190000
"Jul 19, 2017",0.188498,0.188498,0.15818800000000002,0.168388,147778000,7217840000
"Jul 18, 2017",0.179668,0.179668,0.165966,0.188718,295841000,6879740000
"Jul 17, 2017",0.150146,0.150146,0.141425,0.17788900000000002,312685000,5749320000
"Jul 16, 2017",0.16948,0.16948,0.11977,0.148056,257944000,6489640000
"Jul 15, 2017",0.190976,0.190976,0.16711800000000002,0.17058900000000002,131779000,7312750000
"Jul 14, 2017",0.200819,0.200819,0.183369,0.190769,97037600,7689650000
"Jul 13, 2017",0.205873,0.205873,0.193357,0.200809,216750000,7883170000
"Jul 12, 2017",0.184198,0.184198,0.177162,0.205354,153023000,7053180000
"Jul 11, 2017",0.196415,0.196415,0.168265,0.18501900000000002,271415000,7520990000
"Jul 10, 2017",0.234067,0.234067,0.185418,0.203165,119367000,8962770000
"Jul 09, 2017",0.236884,0.236884,0.23341599999999998,0.23341599999999998,82755000,9070620000
"Jul 08, 2017",0.23974099999999998,0.23974099999999998,0.221769,0.236134,124578000,9180000000
"Jul 07, 2017",0.254858,0.254858,0.23889200000000002,0.23948000000000003,88408000,9758870000
"Jul 06, 2017",0.256374,0.256374,0.253303,0.254641,43845800,9816910000
"Jul 05, 2017",0.255125,0.255125,0.254275,0.256523,73292100,9769110000
"Jul 04, 2017",0.259841,0.259841,0.254387,0.254709,56008900,9949670000
"Jul 03, 2017",0.258977,0.258977,0.255666,0.259959,60367800,9916580000
"Jul 02, 2017",0.254512,0.254512,0.250944,0.259449,54095000,9745600000
"Jul 01, 2017",0.262855,0.262855,0.25296599999999997,0.254744,53611000,10065100000
"Jun 30, 2017",0.26605999999999996,0.26605999999999996,0.26224200000000003,0.26293,67764500,10187800000
"Jun 29, 2017",0.280565,0.280565,0.264175,0.265421,89745300,10743200000
"Jun 28, 2017",0.275391,0.275391,0.26784,0.280455,126278000,10545100000
"Jun 27, 2017",0.27728800000000003,0.27728800000000003,0.251052,0.276306,186951000,10617700000
"Jun 26, 2017",0.29877,0.29877,0.260819,0.27728800000000003,280100000,11440300000
"Jun 25, 2017",0.310816,0.310816,0.289148,0.298423,158845000,11901600000
"Jun 24, 2017",0.319188,0.319188,0.306487,0.31111,313710000,12222100000
"Jun 23, 2017",0.297718,0.297718,0.295551,0.31997800000000004,177221000,11400100000
"Jun 22, 2017",0.299886,0.299886,0.29151900000000003,0.297848,194551000,11482700000
"Jun 21, 2017",0.324623,0.324623,0.283614,0.29636599999999996,358493000,12429900000
"Jun 20, 2017",0.292194,0.292194,0.290147,0.324427,793610000,11188200000
"Jun 19, 2017",0.283977,0.283977,0.280233,0.296068,164955000,10873600000
"Jun 18, 2017",0.268085,0.268085,0.26507800000000004,0.2846,232512000,10265000000
"Jun 17, 2017",0.262358,0.262358,0.25810500000000003,0.268351,121948000,10045800000
"Jun 16, 2017",0.259473,0.259473,0.25240799999999997,0.26206799999999997,88152400,9935290000
"Jun 15, 2017",0.278196,0.278196,0.24086799999999997,0.259266,191548000,10662200000
"Jun 14, 2017",0.265823,0.265823,0.263202,0.278447,431096000,10188000000
"Jun 13, 2017",0.253823,0.253823,0.2522,0.26615300000000003,111937000,9728120000
"Jun 12, 2017",0.273075,0.273075,0.24747600000000003,0.25396399999999997,149942000,10466000000
